0,1,2,3,target
41,20,65,41,Vettumaran Gulika
45,82,14,41,Eladi Gutika
63,105,65,41,"Trinapanchamula
Kvatha Churna"
18,28,65,41,Kutajaghan Vati
2,105,65,41,Shveta Malaham
71,22,53,23,Ushirasava
45,82,38,15,Kanakasava
88,42,25,41,Sitopaladi Churna
21,12,65,41,Ksharsutra
6,1,65,41,Shunthi Churna
3,64,22,41,"Guduchyadi Kashaya
Churna"
26,105,65,41,Shadabindu Taila
90,76,65,41,Navak Guggulu
69,42,47,41,Chitraka Haritaki
61,9,43,33,"Ashvagandharisht
a"
34,45,5,41,Kankayan Gutika
62,105,65,41,Shatavaryadi Ghrita
113,105,65,41,Sukumar Ghrita
13,105,65,41,Arsho Kuthara Rasa
82,78,65,41,"Shirahshuladi vajra
Rasa"
41,71,23,41,Tribhuvankirti Rasa
43,100,65,41,Marichyadi Taila
35,42,47,26,"Agastya Haritaki
/ Agastya
Rasayana"
115,2,65,41,Bilvadi Gutika
89,48,65,41,"Somaraji Taila
/Bakuchi Taila"
45,82,39,41,Vasakasava
13,105,65,41,Kasisadi Taila
107,58,65,41,Mahanarayan Taila
10,95,50,5,Brahmi Ghrita
38,18,46,41,Navajivana Rasa
34,45,5,41,Kankayan Gutika
76,44,30,21,Kumaryasava
87,93,62,41,Indu kanta Ghrita
81,35,65,41,Amritarishta
107,58,65,41,Mahanarayan Taila
34,29,35,41,"Kshirashatpala
Ghrita"
46,78,65,41,Bhringaraja Tail
73,49,65,41,"Nisha-Amalaki
Churna"
87,30,65,41,"Ajamodadi
Churna"
37,24,65,41,Prabhakara Vati
33,105,65,41,"Trayodashanga
Guggulu"
34,28,47,41,Apamarga Kshar
43,92,61,41,Aragvadharishta
104,87,16,41,"Vatavidhavansan
Rasa"
87,30,65,41,"Ajamodadi
Churna"
30,15,65,41,Panchamrita Parpati
48,53,65,41,Vidanga Churna
3,64,22,41,"Guduchyadi Kashaya
Churna"
102,105,65,41,"Guggulutiktaka
Ghrita"
92,25,65,41,Saptamrita Lauha
31,15,65,41,Dadimastak Churna
82,78,65,41,"Shirahshuladi vajra
Rasa"
65,11,65,41,"Elanirkuzambu/N
alikeranjana"
89,48,65,41,"Somaraji Taila
/Bakuchi Taila"
60,105,65,41,"Khadiradi Gutika
(Mukhroga)"
87,30,65,41,"Ajamodadi
Churna"
41,35,65,41,"Samshamani Vati
/ Guduchighana Vati"
89,48,65,41,"Somaraji Taila
/Bakuchi Taila"
15,56,65,41,"Varunadi Kvatha
Churna"
45,82,65,41,"Tankana Bhasma/
Saubhagya Bhasma"
73,68,6,41,"Lodhrasava/Rodh
rasava"
54,105,65,41,Abhayadi Modakam
18,29,37,41,Kutajavaleha
45,82,58,41,Shvasakuthara Rasa
4,105,65,41,Chitrakadi Gutika
57,95,21,41,Mukta Pishti
24,2,55,0,Arka Pudina
84,39,15,31,"Haridrakhanda
Paka"
94,36,65,41,"Shadanga
Kvatha Churna"
13,105,65,41,Kasisadi Taila
7,74,65,41,Kamadudha Rasa
20,17,65,41,Aravindasava
107,58,65,41,Mahanarayan Taila
41,15,10,41,"Balachaturbhadra
Churna"
11,77,65,41,"Brihanmasha Taila
/Mahamash Taila"
37,74,65,41,"Jaharamohara
Bhasma"
107,30,65,41,Prasarini Taila
39,97,33,29,"Rasnasaptaka
Kashaya Churna"
34,28,47,41,Apamarga Kshar
4,42,47,34,Draksharishta
20,105,65,41,"Balashvagandhadi
Taila"
66,37,21,41,Navayasa Lauha
37,74,65,41,"Jaharamohara
Bhasma"
81,35,65,41,Amritarishta
72,94,18,12,Rohitakarishta
13,105,65,41,Kasisadi Taila
88,42,25,41,Sitopaladi Churna
100,68,51,7,"Puga Khanda/
Supari Paka"
16,83,64,41,Ashokarishta
42,90,65,41,Triphala Ghrita
97,31,12,2,Kalyanak Guda
97,31,12,2,Kalyanak Guda
63,105,65,41,"Trinapanchamula
Kvatha Churna"
21,12,28,9,Triphala Guggulu
